Region, Course, Date, Price, Id, Location, Currency, URL 
en-ca, Problem Management: Root Cause Analysis Specialist™, Aug 21-22 2024, 2365.0, 6509, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
en-ca, Problem Management: Root Cause Analysis Specialist™, Oct 24-25 2024, 2365.0, 6511, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
en-ca, Problem Management: Root Cause Analysis Specialist™, Dec 12-13 2024, 2365.0, 6513, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
en-ca, IT Business Relationship Manager™, Sep 11-13 2023, 3160.0, 6174, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-relationship-manager 
en-ca, IT Business Relationship Manager™, Nov 01-03 2023, 3160.0, 6384, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-relationship-manager 
en-ca, IT Business Relationship Manager™, Feb 14-16 2024, 3160.0, 6514, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-relationship-manager 
en-ca, IT Business Relationship Manager™, May 27-29 2024, 3160.0, 6517, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-relationship-manager 
en-ca, IT Business Relationship Manager™, Aug 26-28 2024, 3160.0, 6519, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-relationship-manager 
en-ca, IT Business Relationship Manager™, Dec 02-04 2024, 3160.0, 6521, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-business-relationship-manager 
en-ca, IT Performance & Improvement Management™, Nov 27-28 2023, 2365.0, 6429, Web-based, CAD, https://www.pinkelephant.com/en-ca/course/it-performance-improvement-management 
en-ca, IT Performance & Improvement Management™, Feb 29-01 2024, 2365.0, 6549, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-performance-improvement-management 
en-ca, IT Performance & Improvement Management™, May 23-24 2024, 2365.0, 6551, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-performance-improvement-management 
en-ca, IT Performance & Improvement Management™, Aug 15-16 2024, 2365.0, 6553, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-performance-improvement-management 
en-ca, IT Performance & Improvement Management™, Nov 18-19 2024, 2365.0, 6555, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/it-performance-improvement-management 
en-ca, Value Stream Mapping, Oct 12-13 2023, 2365.0, 6431, Web-based, CAD, https://www.pinkelephant.com/en-ca/course/value-stream-mapping 
en-ca, Value Stream Mapping, Dec 18-19 2023, 2365.0, 6433, Web-based, CAD, https://www.pinkelephant.com/en-ca/course/value-stream-mapping 
en-ca, Value Stream Mapping, Feb 20-21 2024, 2365.0, 6523, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/value-stream-mapping 
en-ca, Value Stream Mapping, Apr 25-26 2024, 2365.0, 6525, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/value-stream-mapping 
en-ca, Value Stream Mapping, Jun 27-28 2024, 2365.0, 6527, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/value-stream-mapping 
en-ca, Value Stream Mapping, Aug 29-30 2024, 2365.0, 6529, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/value-stream-mapping 
en-ca, Value Stream Mapping, Nov 07-08 2024, 2365.0, 6531, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/value-stream-mapping 
en-ca, Service Catalog Specialist™, Nov 06-07 2023, 2365.0, 6250, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/service-catalog-specialist 
en-ca, Service Catalog Specialist™, Feb 08-09 2024, 2365.0, 6494, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/service-catalog-specialist 
en-ca, Service Catalog Specialist™, May 09-10 2024, 2365.0, 6497, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/service-catalog-specialist 
